first_name,last_name,age,blood_group
Lelah,Tillford,73,AB+
Rori,Rogerio,78,B+
Heddie,Zola,24,O-
Regina,Evvie,73,A-
Tera,Loeb,59,O-
Sindee,Louanna,20,B-
Carilyn,Eno,35,B-
Angelique,Robertson,32,A+
Allis,Glenden,23,B+
Modestia,Corabella,49,AB-
Theodora,Marlie,73,AB+
Kara-Lynn,Loring,34,B-
Katleen,Helfand,33,A-
Edith,Raffo,78,B+
Nessie,Dunkin,24,B+
Alisha,Nelsen,23,O+
Susan,Lynn,60,AB-
Doro,Herrera,27,B-
Arlina,Sundin,20,B-
Asia,Docilla,35,O-
Glenda,Arne,44,AB+
Mignon,Randene,20,A-
Lelah,Stav,28,O-
Pamella,Carvey,52,B+
Chloris,Kunin,65,O-
Rhoda,Roche,67,O+
Augustine,Wu,21,AB+
Consuela,Pulsifer,67,A+
Emilia,Hanshaw,61,O+
Marika,McNully,73,O-
Lanna,Marden,39,AB-
Annora,Sheedy,45,A+
Devina,Colp,69,A-
Almeta,Darrell,66,A+
Max,Alisia,19,O-
Carilyn,Gaulin,39,AB+
Leia,McLaughlin,20,O-
Melanie,Jena,41,B-
Ulrike,Kussell,46,A+
Carmela,McGrody,23,A-
Sonni,Reneta,32,A+
Meg,Afton,50,O-
Rhoda,Land,40,B+
Katleen,Cottle,58,AB+
Stacey,Fancie,40,O+
Aigneis,Ioab,51,B-
Audrie,Tatianas,21,A+
Arlena,Hoban,70,AB-
Rayna,Ventre,80,B+
Phylis,Chick,72,O-
Althea,Flyn,37,AB-
Siana,Raimondo,63,A+
Odessa,Brackely,33,O+
Gratia,Gaynor,77,A-
Lisette,Letsou,51,A+
Bobinette,Chapland,53,O-
Johna,Center,46,O+
Lolita,Tybald,64,A-
Lauryn,Weitman,51,B+
Benita,Percy,40,B-
Queenie,Anderea,69,O-
Harrietta,Mata,31,O+
Tierney,Prober,49,B+
Tomasina,Hashim,69,O+
Laurene,Bergman,61,B+
Britni,Evvie,35,B-
Edee,Jerold,58,B-
Edyth,Drus,40,A+
Sadie,Seligman,48,A+
Addia,Cloris,29,B+
Dorene,Merna,39,A+
Rori,Loeb,63,O-
Mariele,Elvyn,77,A+
Audrie,Tippets,51,B+
Lacie,Secrest,56,AB+
Valli,Harl,44,AB-
Aigneis,Bluh,62,A-
Elmira,Celestine,36,AB-
Helena,Oster,58,A-
